branch;line;nd
#ifdef ETIMEDOUT;1433;1
#if defined(EWOULDBLOCK) && EWOULDBLOCK != EAGAIN && EWOULDBLOCK != EDEADLK;1436;1
#if defined(ultrix) || defined(_CRAY);1447;2
#ifdef EX_OK;11;1
#ifndef ISC_UNIX;6;1
#ifdef EX_OK;12;1
#if HASFCHOWN;80;1
#if HASFCHOWN;187;2
#ifdef EX_OK;9;1
#ifndef NOT_SENDMAIL;13;1
#if 0;264;1
#ifdef EX_OK;15;1
#ifdef __STDC__;292;1
#else;294;1
#if _FFR_REDIRECTEMPTY;26;1
#if _FFR_ALIAS_DETAIL;105;1
#if _FFR_ALIAS_DETAIL;119;1
#else;127;1
#ifdef SIGTSTP;313;1
#ifdef SIGTSTP;364;1
#ifdef SIGTSTP;399;1
#if 0;555;1
#if _FFR_FORWARD_SYSERR;650;1
#ifndef TZNAME_MAX;3;1
#if TZ_TYPE == TZ_TM_NAME;76;1
#if TZ_TYPE == TZ_TM_ZONE;79;1
#if TZ_TYPE == TZ_TZNAME;82;1
#if TZ_TYPE == TZ_TIMEZONE;93;1
#ifdef BF_STANDALONE;37;1
#else;39;1
#ifdef __STDC__;121;1
#else;124;1
#ifdef EDQUOT;320;1
#if NOFTRUNCATE;454;1
#else;457;1
#if _FFR_REJECT_NUL_BYTE;148;1
#if _FFR_REJECT_NUL_BYTE;163;1
#if _FFR_REJECT_NUL_BYTE;225;1
#ifndef NOTUNIX;395;1
#if _FFR_REJECT_NUL_BYTE;633;1
#if STAT64 > 0;671;1
#else;673;1
#if STAT64 > 0;680;1
#else;682;1
#if 0;711;1
#else;714;1
#ifndef NOTUNIX;727;1
#if NEWDB;5;1
